aberation           -> aberration
geometrician        -> geometer
:gerat              -> great
glamourous          -> glamorous
glight              -> flight
gnawwed             -> gnawed
godess              -> goddess
:gogin              -> going
:goign              -> going
:gonig              -> going
gouvener            -> governor
govement            -> government
govenment           -> government
govenrment          -> government
goverance           -> governance
goverment           -> government
governer            -> governor
governmnet          -> government
govorment           -> government
govornment          -> government
:graet              -> great
grafitti            -> graffiti
gramatically        -> grammatically
grammaticaly        -> grammatically
:grammer            -> grammar
gratuitious         -> gratuitous
greatful            -> grateful
greif               -> grief
gridles             -> griddles
gropu               -> group
:guage              -> gauge
guaratee            -> guarantee
guarentee           -> guarantee
guerrila            -> guerrilla
guidence            -> guidance
gunanine            -> guanine
gurantee            -> guarantee
guttaral            -> guttural
gutteral            -> guttural
habaeus             -> habeas
habeus              -> habeas
haemorrage          -> haemorrhage
:haev               -> have
halarious           -> hilarious
:hapen              -> happen
hapened             -> happened
hapening            -> happening
happend             -> happened
happenned           -> happened
harased             -> harassed
harases             -> harasses
harasment           -> harassment
harassement         -> harassment
haviest             -> heaviest
headquarer          -> headquarter
headquater          -> headquarter
healthercare        -> healthcare
:heathy             -> healthy
heigher             -> higher
heirarchy           -> hierarchy
heiroglyphics       -> hieroglyphics
helment             -> helmet
helpped             -> helped
hemmorhage          -> hemorrhage
heridity            -> heredity
hertiage            -> heritage
hertzs              -> hertz
hesistant           -> hesitant
heterogenous        -> heterogeneous
heighth             -> height
hieght              -> height
hierachical         -> hierarchical
hierachies          -> hierarchies
hierachy            -> hierarchy
hierarcical         -> hierarchical
hierarcy            -> hierarchy
hieroglph           -> hieroglyph
higer:              -> higher
higest              -> highest
higway              -> highway
hillarious          -> hilarious
himselv             -> himself
hinderance          -> hindrance
hinderence          -> hindrance
hindrence           -> hindrance
hipopotamus         -> hippopotamus
hismelf             -> himself
historicians        -> historians
holliday            -> holiday
homogeneize         -> homogenize
honory              -> honorary
horrifing           -> horrifying
hosited             -> hoisted
hospitible          -> hospitable
hounour             -> honour
housr:              -> hours
howver              -> however
hsitorians          -> historians
hstory              -> history
:htere              -> there
:htikn              -> think
:hting              -> thing
:htink              -> think
:humer              -> humour
huminoid            -> humanoid
humoural            -> humoral
humurous            -> humorous
hvaing              -> having
:hwihc              -> which
:hwile              -> while
hwole               -> whole
hydogen             -> hydrogen
hydropile           -> hydrophile
hydropilic          -> hydrophilic
hydropobe           -> hydrophobe
hydropobic          -> hydrophobic
hygeine             -> hygiene
hyjack              -> hijack
hypocracy           -> hypocrisy
hypocrasy           -> hypocrisy
hypocricy           -> hypocrisy
hypocrit:           -> hypocrite
iamge:              -> image
iconclastic         -> iconoclastic
idaeidae            -> idea
:idaes              -> ideas
idealogies          -> ideologies
idealogy            -> ideology
identicial          -> identical
identifers          -> identifiers
ideosyncratic       -> idiosyncratic
idesa               -> ideas
idiosyncracy        -> idiosyncrasy
illegimacy          -> illegitimacy
illess              -> illness
illiegal            -> illegal
illution            -> illusion
ilness              -> illness
ilogical            -> illogical
imagenary           -> imaginary
imaginery           -> imaginary
imanent             -> eminent
imcomplete          -> incomplete
imediately          -> immediately
imense              -> immense
imigrant            -> immigrant
imigrated           -> immigrated
imigration          -> immigration
iminent             -> imminent
immediatley         -> immediately
immediatly          -> immediately
immidately          -> immediately
immidiately         -> immediately
immitate            -> imitate
immitating          -> imitating
immitator           -> imitator
immunosupressant    -> immunosuppressant
impecabbly          -> impeccably
impedence           -> impedance
implamenting        -> implementing
:imploys            -> employs
importamt           -> important
impressario         -> impresario
imprioned           -> imprisoned
imprisonned         -> imprisoned
improvision         -> improvisation
improvment          -> improvement
inablility          -> inability
inadiquate          -> inadequate
inadquate           -> inadequate
inadvertantly       -> inadvertently
inagurated          -> inaugurated
inaguration         -> inauguration
inaugures           -> inaugurates
inbalance           -> imbalance
incarcirated        -> incarcerated
incidentially       -> incidentally
incidently          -> incidentally
inclreased          -> increased
includng            -> including
incomptable         -> incompatible
incomptetent        -> incompetent
incoroporated       -> incorporated
incorperation       -> incorporation
incorportaed        -> incorporated
incorprates         -> incorporates
incramentally       -> incrementally
increadible         -> incredible
incredable          -> incredible
inctroduce          -> introduce
incuding            -> including
incunabla           -> incunabula
indefineable        -> undefinable
indentical          -> identical
indepedantly        -> independently
indepedence         -> independence
independant         -> independent
independece         -> independence
independendet       -> independent
indespensable       -> indispensable
indespensible       -> indispensable
indictement         -> indictment
indigineous         -> indigenous
indipendence        -> independence
indipendent         -> independent
indispensible       -> indispensable
indisputible        -> indisputable
indisputibly        -> indisputably
indite              -> indict
individualy         -> individually
indpendent          -> independent
indulgue            -> indulge
indutrial           -> industrial
indviduals          -> individuals
inefficienty        -> inefficiently
inevatible          -> inevitable
inevitible          -> inevitable
inevititably        -> inevitably
infalability        -> infallibility
infallable          -> infallible
infectuous          -> infectious
infered             -> inferred
infilitrate         -> infiltrate
infilitration       -> infiltration
inflamation         -> inflammation
influencial         -> influential
influented          -> influenced
infomation          -> information
informtion          -> information
infrantryman        -> infantryman
infrigement         -> infringement
ingenius            -> ingenious
ingreediants        -> ingredients
inhabitans          -> inhabitants
inherantly          -> inherently
inheritage          -> inheritance
inheritence         -> inheritance
inital              -> initial
initation           -> initiation
initiaitive         -> initiative
inlcuding           -> including
inmigrant           -> immigrant
innoculated         -> inoculated
inocence            -> innocence
inofficial          -> unofficial
inpeach             -> impeach
inpending           -> impending
inpenetrable        -> impenetrable
inpolite            -> impolite
inprisonment        -> imprisonment
inproving           -> improving
insectiverous       -> insectivorous
insensative         -> insensitive
inseperable         -> inseparable
insistance          -> insistence
insitution          -> institution
inspite             -> in spite
instade             -> instead
instatance          -> instance
institue            -> institute
instuction          -> instruction
instuments          -> instruments
instutionalized     -> institutionalized
instutions          -> institutions
insurence           -> insurance
intelectual         -> intellectual
inteligence         -> intelligence
inteligent          -> intelligent
intenational        -> international
intented            -> intended
intepretation       -> interpretation
intepretator        -> interpretor
interational        -> international
interbread          -> interbreed
interchangably      -> interchangeably
intercontinetal     -> intercontinental
intered             -> interred
interelated         -> interrelated
interferance        -> interference
interfereing        -> interfering
intergrated         -> integrated
intergration        -> integration
interm              -> interim
internation:        -> international
interpet            -> interpret
interrim            -> interim
interrugum          -> interregnum
intertaining        -> entertaining
interupt            -> interrupt
intervines          -> intervenes
intevene            -> intervene
intial              -> initial
intput              -> input
intrduced           -> introduced
intrest             -> interest
introdued           -> introduced
intruduced          -> introduced
intrument           -> instrument
intrusted           -> entrusted
intutive            -> intuitive
inudstry            -> industry
inumerable          -> innumerable
inventer            -> inventor
invertibrates       -> invertebrates
investingate        -> investigate
involvment          -> involvement
iresistable         -> irresistible
iresistably         -> irresistibly
iresistible         -> irresistible
iresistibly         -> irresistibly
iritable            -> irritable
iritated            -> irritated
ironicly            -> ironically
irregardless        -> regardless
irreplacable        -> irreplaceable
irresistable        -> irresistible
irresistably        -> irresistibly
issueing            -> issuing
itnroduced          -> introduced
iunior              -> junior
janurary            -> January
januray             -> January
jeapardy            -> jeopardy
jewllery            -> jewellery
jorunal             -> journal
jouney              -> journey
journied            -> journeyed
journies            -> journeys
:jstu:              -> just
:jsut:              -> just
judical             -> judicial
judisuary           -> judiciary
juducial            -> judicial
juristiction        -> jurisdiction
kindergarden        -> kindergarten
klenex              -> kleenex
knifes:             -> knives
knive:              -> knife
knowlege            -> knowledge
:knwo               -> know
:konw               -> know
:kwno               -> know
labatory            -> laboratory
labled              -> labelled
labratory           -> laboratory
laguage             -> language
laparascopic        -> laparoscopic
largst              -> largest
larrry              -> larry
lastr               -> last
lattitude           -> latitude
launchs             -> launches
launhed             -> launched
lavae               -> larvae
:layed              -> laid
lazyness            -> laziness
leage               -> league
leanr               -> learn
leathal             -> lethal
lebsian             -> lesbian
lefted              -> left
legitamate          -> legitimate
legitmate           -> legitimate
leibnitz            -> leibniz
lenght              -> length
:leran              -> learn
lesban              -> lesbian
lesbain             -> lesbian
lesbina             -> lesbian
leutenant           -> lieutenant
levetate            -> levitate
levetating          -> levitating
levle               -> level
liasion             -> liaison
liason              -> liaison
libary              -> library
libell              -> libel
libguistic          -> linguistic
libitarianisn       -> libertarianism
:lible              -> libel
lieing              -> lying
liekd               -> liked
liesure             -> leisure
lieuenant           -> lieutenant
lieved              -> lived
liftime             -> lifetime
lightyear           -> light year
likelyhood          -> likelihood
linnaena            -> linnaean
lippizaner          -> lipizzaner
liquify             -> liquefy
liscense            -> license
lisence             -> license
lisense             -> license
litature            -> literature
literaly            -> literally
literture           -> literature
littel              -> little
litterally          -> literally
liuke               -> like
livley              -> lively
lmits               -> limits
lonelyness          -> loneliness
longitudonal        -> longitudinal
lonley              -> lonely
lonly               -> lonely
looses:             -> loses
loosing             -> losing
lotharingen         -> lothringen
lukid               -> likud
lybia               -> Libya
maching             -> machine
mackeral            -> mackerel
magasine            -> magazine
magizine            -> magazine
magisine            -> magazine
magincian           -> magician
magnificient        -> magnificent
magolia             -> magnolia
mailny              -> mainly
maintainance        -> maintenance
maintainence        -> maintenance
maintance           -> maintenance
maintenence         -> maintenance
maintinaing         -> maintaining
maintioned          -> mentioned
majoroty            -> majority
maked               -> marked
makse               -> makes
:mamal              -> mammal
managable           -> manageable
managment           -> management
manisfestations     -> manifestations
mantain             -> maintain
manufacturedd       -> manufactured
manufature:         -> manufacture
manufaturing        -> manufacturing
mariage             -> marriage
marjority           -> majority
markes              -> marks
marketting          -> marketing
marmelade           -> marmalade
marrage             -> marriage
marraige            -> marriage
marrtyred           -> martyred
marryied            -> married
masterbation        -> masturbation
mataphysical        -> metaphysical
materalists         -> materialist
mathamatics         -> mathematics
mathematican        -> mathematician
mathematicas        -> mathematics
mathmatically       -> mathematically
mathmatician        -> mathematician
mchanics            -> mechanics
meaing              -> meaning
meaninng            -> meaning
mechandise          -> merchandise
medacine            -> medicine
medeival            -> medieval
medevial            -> medieval
mediciney           -> mediciny
medievel            -> medieval
meerkrat            -> meerkat
melieux             -> milieux
membranaphone       -> membranophone
memeber             -> member
menally             -> mentally
mercentile          -> mercantile
messanger           -> messenger
messenging          -> messaging
metalic             -> metallic
metalurgic          -> metallurgic
metalurgy           -> metallurgy
metamorphysis       -> metamorphosis
metaphoricial       -> metaphorical
meterologist        -> meteorologist
meterology          -> meteorology
methaphor           -> metaphor
micoscopy           -> microscopy
midwifes            -> midwives
mileau              -> milieu
milennia            -> millennia
milennium           -> millennium
mileu               -> milieu
miliary             -> military
miligram            -> milligram
milion              -> million
miliraty            -> military
millenia            -> millennia
millenium           -> millennium
millepede           -> millipede
millioniare         -> millionaire
millitant           -> militant
millitary           -> military
millon              -> million
miltary             -> military
minature            -> miniature
minerial            -> mineral
ministery           -> ministry
minsitry            -> ministry
minstries           -> ministries
minstry             -> ministry
minumum             -> minimum
mirrorred           -> mirrored
miscelaneous        -> miscellaneous
miscellanious       -> miscellaneous
miscellanous        -> miscellaneous
mischeivous         -> mischievous
mischevious         -> mischievous
mischievious        -> mischievous
misdameanor         -> misdemeanor
misfourtune         -> misfortune
misile              -> missile
mispell             -> misspell
missle              -> missile
missonary           -> missionary
misterious          -> mysterious
mistery:            -> mystery
misteryous          -> mysterious
:mkaes              -> makes
mkaing              -> making
moderm              -> modem
:modle              -> model
:moent              -> moment
:moeny              -> money
moleclues           -> molecules
momento             -> memento
monestaries         -> monasteries
monestary           -> monastery
monickers           -> monikers
monolite            -> monolithic
montains            -> mountains
montanous           -> mountainous
montypic            -> monotypic
moreso              -> more so
morgage             -> mortgage
mortage             -> mortgage
mosture             -> moisture
motiviated          -> motivated
mounth              -> month
movei               -> movie
movment             -> movement
mucuous             -> mucous
muder               -> murder
multicultralism     -> multiculturalism
multipled           -> multiplied
multiplers          -> multipliers
munbers             -> numbers
muncipalities       -> municipalities
muncipality         -> municipality
munnicipality       -> municipality
muscels             -> muscles
muscial             -> musical
muscician           -> musician
mutiliated          -> mutilated
myraid              -> myriad
mysef:              -> myself
mysefl              -> myself
mysogynist          -> misogynist
mysogyny            -> misogyny
mysterous           -> mysterious
naieve              -> naive
naturaly            -> naturally
naturely            -> naturally
naturual            -> >natural
neccesarily         -> necessarily
neccesary           -> necessary
neccessarily        -> necessarily
neccessary          -> necessary
neccessities        -> necessities
necesarily          -> necessarily
necesary            -> necessary
necessiate          -> necessitate
neglible            -> negligible
negligable          -> negligible
negociate           -> negotiate
negociation         -> negotiation
negotation          -> negotiation
neice               -> niece
neigbour            -> neighbour
neolitic            -> neolithic
nessasarily         -> necessarily
nessecary           -> necessary
neverthless         -> nevertheless
newletters          -> newsletters
nickle              -> nickel
nightime            -> nighttime
nineth              -> ninth
ninteenth           -> nineteenth
ninty               -> ninety
noncombatents       -> noncombatants
nonsence            -> nonsense
nontheless          -> nonetheless
noone               -> no one
norhern             -> northern
northen             -> northern
northereastern      -> northeastern
notabley            -> notably
noteable            -> notable
noteably            -> notably
noteriety           -> notoriety
:noth:              -> north
nothern             -> northern
noticable           -> noticeable
noticably           -> noticeably
noticeing           -> noticing
noticible           -> noticeable
notwhithstanding    -> notwithstanding
noveau              -> nouveau
novermber           -> November
nowdays             -> nowadays
nucular             -> nuclear
nuculear            -> nuclear
nuisanse            -> nuisance
numberous           -> numerous
nusance             -> nuisance
nutritent           -> nutrient
nuturing            -> nurturing
obediance           -> obedience
obediant            -> obedient
obession            -> obsession
obssessed           -> obsessed
obstacal            -> obstacle
obstancles          -> obstacles
obstruced           -> obstructed
ocasion             -> occasion
ocassion            -> occasion
occaison            -> occasion
occassion           -> occasion
occationally        -> occasionally
occour              -> occur
occurance           -> occurrence
occured             -> occurred
occurence           -> occurrence
occuring            -> occurring
occurr:             -> occur
octohedra           -> octahedra
octohedron          -> octahedron
:ocuntries          -> countries
:ocuntry            -> country
:ocur               -> occur
ocurr               -> occur
offcers             -> officers
offcially           -> officially
offereings          -> offerings
offical:            -> official
offically           -> officially
officals            -> officials
officaly            -> officially
officialy           -> officially
offred              -> offered
oftenly             -> often
oging               -> going
:olther             -> other
:omision            -> omission
:omited             -> omitted
:omiting            -> omitting
omlette             -> omelette
:ommision           -> omission
:ommited            -> omitted
:ommiting           -> omitting
:ommitted           -> omitted
:ommitting          -> omitting
omniverous          -> omnivorous
openess             -> openness
oponent             -> opponent
oportunity          -> opportunity
opose               -> oppose
oposite             -> opposite
oposition           -> opposition
oppenly             -> openly
oppinion            -> opinion
opponant            -> opponent
oppononent          -> opponent
oppositition        -> opposition
oppossed            -> opposed
opprotunity         -> opportunity
opression           -> oppression
opressive           -> oppressive
opthalmic           -> ophthalmic
opthalmologist      -> ophthalmologist
opthalmology        -> ophthalmology
opthamologist       -> ophthalmologist
optmizations        -> optimizations
optomism            -> optimism
orded               -> ordered
organim             -> organism
organistion         -> organisation
organiztion         -> organization
:orgin              -> origin
orginize            -> organise
oridinarily         -> ordinarily
origanaly           -> originally
originall           -> original
originaly           -> originally
originially         -> originally
originnally         -> originally
origional           -> original
orignally           -> originally
orignially          -> originally
:otehr              -> other
otherwordly         -> otherworldly
oublisher           -> publisher
ouevre              -> oeuvre
ouptut              -> output
ouput               -> output
oustanding          -> outstanding
overthere           -> over there
overwelming         -> overwhelming
overwheliming       -> overwhelming
:owudl              -> would
oxigen              -> oxygen
oximoron            -> oxymoron
paide               -> paid
paitience           -> patience
palce               -> place
paleolitic          -> paleolithic
paliamentarian      -> parliamentarian
pallete             -> palette
pamflet             -> pamphlet
pamplet             -> pamphlet
pantomine           -> pantomime
paralel:            -> parallel
paralell:           -> parallel
paralelly           -> parallelly
paralely            -> parallelly
parallely           -> parallelly
paranthesis         -> parenthesis
paraphenalia        -> paraphernalia
parellels           -> parallels
parisitic           -> parasitic
parituclar          -> particular
parliment           -> parliament
parrakeets          -> parakeets
parralel            -> parallel
parrallel:          -> parallel
parrallell          -> parallel
parrallely          -> parallelly
partialy            -> partially
particually         -> particularly
particualr          -> particular
particuarly         -> particularly
particularily       -> particularly
particulary         -> particularly
pased:              -> passed
pasengers           -> passengers
passerbys           -> passersby
pasttime            -> pastime
pastural            -> pastoral
paticular           -> particular
pattented           -> patented
pavillion           -> pavilion
payed               -> paid
pblisher            -> publisher
pbulisher           -> publisher
peacefuland         -> peaceful and
peageant            -> pageant
peaple              -> people
peculure            -> peculiar
pedestrain          -> pedestrian
peformed            -> performed
:peice              -> piece
penatly             -> penalty
penerator           -> penetrator
penisula            -> peninsula
penninsula          -> peninsula
pennisula           -> peninsula
pensle              -> pencil
pensinula           -> peninsula
peopel              -> people
peotry              -> poetry
perade              -> parade
percepted           -> perceived
percieve            -> perceive
pereguine           -> peregrine
perenially          -> perennially
peretrator          -> perpetrator
perfomance          -> performance
perfomers           -> performers
performence         -> performance
performes           -> performed
perhasp             -> perhaps
perheaps            -> perhaps
perhpas             -> perhaps
peripathetic        -> peripatetic
peristent           -> persistent
perjery             -> perjury
perjorative         -> pejorative
permanant           -> permanent
permenant           -> permanent
permissable         -> permissible
perogative          -> prerogative
peronal             -> personal
perpertrated        -> perpetrated
perosnality         -> personality
perphas             -> perhaps
perpindicular       -> perpendicular
persan              -> person
perseverence        -> perseverance
persistance         -> persistence
persistant          -> persistent
personel:           -> personnel
personell           -> personnel
personnell          -> personnel
persuded            -> persuaded
persue              -> pursue
persuing            -> pursuing
persuit             -> pursuit
pertubation         -> perturbation
pessiary            -> pessary
petetion            -> petition
pharoah             -> Pharaoh
phenomenom          -> phenomenon
phenomenonal        -> phenomenal
phenomenonly        -> phenomenally
phenomonenon        -> phenomenon
phenomonon          -> phenomenon
phenonmena          -> phenomena
philisopher         -> philosopher
philisophical       -> philosophical
philisophy          -> philosophy
phillosophically    -> philosophically
philospher          -> philosopher
philosphies         -> philosophies
philosphy           -> philosophy
phongraph           -> phonograph
phylosophical       -> philosophical
physicaly           -> physically
piblisher           -> publisher
pilgrimmage         -> pilgrimage
pinapple            -> pineapple
pinnaple            -> pineapple
pinoneered          -> pioneered
plagarism           -> plagiarism
planation           -> plantation
planed              -> planned
plantiff            -> plaintiff
plateu              -> plateau
plausable           -> plausible
playright           -> playwright
playwrite           -> playwright
pleasent            -> pleasant
plebicite           -> plebiscite
plesant             -> pleasant
poenis              -> penis
poeople             -> people
poety               -> poetry
poisin              -> poison
polical             -> political
polinator           -> pollinator
politican           -> politician
poltical            -> political
polute              -> pollute
poluting            -> polluting
polution            -> pollution
polyphonyic         -> polyphonic
polysaccaride       -> polysaccharide
pomegranite         -> pomegranate
pomotion            -> promotion
poportional         -> proportional
popoulation         -> population
popularaty          -> popularity
populare            -> popular
populer             -> popular
porshan             -> portion
porshon             -> portion
portait             -> portrait
portayed            -> portrayed
portraing           -> portraying
posion              -> poison
positon             -> position
possable            -> possible
possably            -> possibly
posseses            -> possesses
possesing           -> possessing
possesion           -> possession
possessess          -> possesses
possibile           -> possible
possibilty          -> possibility
possiblility        -> possibility
possiblilty         -> possibility
possiblities        -> possibilities
possiblity          -> possibility
possition           -> position
posthomous          -> posthumous
postion             -> position
postive             -> positive
potatos             -> potatoes
potrait             -> portrait
potrayed            -> portrayed
poulations          -> populations
poverful            -> powerful
poweful             -> powerful
powerfull           -> powerful
ppublisher          -> publisher
practial            -> practical
practicaly          -> practically
practicioner        -> practitioner
practicly           -> practically
practioner          -> practitioner
prairy              -> prairie
prarie:             -> prairie
praries             -> prairies
pratice             -> practice
preample            -> preamble
precedessor         -> predecessor
preceed             -> precede
precentage          -> percentage
precice             -> precise
precisly            -> precisely
precurser           -> precursor
predecesors         -> predecessors
predicatble         -> predictable
predicitons         -> predictions
predomiantly        -> predominately
preferrably         -> preferably
pregancies          -> pregnancies
preiod              -> period
preliferation       -> proliferation
premeire            -> premiere
preminence          -> preeminence
premission          -> permission
preocupation        -> preoccupation
prepair             -> prepare
prepartion          -> preparation
prepatory           -> preparatory
preperation         -> preparation
preriod             -> period
presedential        -> presidential
presense            -> presence
presidenital        -> presidential
presitgious         -> prestigious
prespective         -> perspective
prestigeous         -> prestigious
prestigous          -> prestigious
presumabely         -> presumably
presumibly          -> presumably
pretection          -> protection
prevelant           -> prevalent
preverse            -> perverse
previvous           -> previous
pricipal            -> principal
priciple            -> principle
priestood           -> priesthood
primarly            -> primarily
primative           -> primitive
primordal           -> primordial
principlaity        -> principality
principaly          -> principality
principial          -> principal
principly           -> principally
prinicipal          -> principal
privalege           -> privilege
priveledges         -> privileges
privelege           -> privilege
privelige           -> privilege
privelleges         -> privileges
privilage           -> privilege
priviledge          -> privilege
privledge           -> privilege
privte              -> private
probabilaty         -> probability
probablistic        -> probabilistic
probablly           -> probably
probalibity         -> probability
probaly             -> probably
probelm             -> problem
proccess            -> process
procede             -> proceed
procedger           -> procedure
proceding           -> proceeding
proceedure          -> procedure
processer           -> processor
proclaimation       -> proclamation
proclamed           -> proclaimed
proclaming          -> proclaiming
proclomation        -> proclamation
profesion           -> profession
profesor            -> professor
professer           -> professor
proffesed           -> professed
proffesion          -> profession
proffesor           -> professor
proffession         -> profession
proffessor          -> professor
profilic            -> prolific
progessed           -> progressed
progidy             -> prodigy
programable         -> programmable
progrom             -> program
prohabition         -> prohibition
prologomena         -> prolegomena
prominance          -> prominence
prominant           -> prominent
prominately         -> prominently
promiscous          -> promiscuous
promotted           -> promoted
pronomial           -> pronominal
pronouced           -> pronounced
pronounched         -> pronounced
pronounciation      -> pronunciation
proove              -> prove
prophacy            -> prophecy
propietary          -> proprietary
propmted            -> prompted
propoganda          -> propaganda
propogate           -> propagate
propogation         -> propagation
propotions          -> proportions
propper             -> proper
proprietory         -> proprietary
proseletyzing       -> proselytizing
protaganist         -> protagonist
protocal            -> protocol
protoganist         -> protagonist
protrayed           -> portrayed
protruberance       -> protuberance
prouncements        -> pronouncements
provacative         -> provocative
provded             -> provided
provicial           -> provincial
provinicial         -> provincial
provisiosn          -> provision
provisonal          -> provisional
proximty            -> proximity
pseudononymous      -> pseudonymous
pseudonyn           -> pseudonym
psuedo              -> pseudo
psycology           -> psychology
psyhic              -> psychic
pubilsher           -> publisher
pubisher            -> publisher
publiaher           -> publisher
publically          -> publicly
publicaly           -> publicly
publicher           -> publisher
publihser           -> publisher
publisehr           -> publisher
publiser            -> publisher
publisger           -> publisher
publisheed          -> published
publisherr          -> publisher
publishher          -> publisher
publishor           -> publisher
publishre           -> publisher
publissher          -> publisher
publlisher          -> publisher
publsiher           -> publisher
publusher           -> publisher
puchasing           -> purchasing
pulisher            -> publisher
pumkin              -> pumpkin
puplisher           -> publisher
puritannical        -> puritanical
purposedly          -> purposely
purpotedly          -> purportedly
pursuade            -> persuade
pususading          -> persuading
pwoer               -> power
pyscic              -> psychic
qtuie               -> quite
quantaty            -> quantity
quantitiy           -> quantity
quarantaine         -> quarantine
questonable         -> questionable
quinessential       -> quintessential
:quitted            -> quit
quizes              -> quizzes
qutie               -> quite
rabinnical          -> rabbinical
racaus              -> raucous
radiactive          -> radioactive
radify              -> ratify
raelly              -> really
rarified            -> rarefied
reaccurring         -> recurring
reacing             -> reaching
reacll              -> recall
readmition          -> readmission
realitvely          -> relatively
realsitic           -> realistic
realtion            -> relation
realy:              -> really
realyl              -> really
reasearch           -> research
rebiulding          -> rebuilding
rebllions           -> rebellions
rebounce            -> rebound
reccomend           -> recommend
reccommend          -> recommend
reccuring           -> recurring
receeded            -> receded
receeding           -> receding
receivedfrom        -> received from
recepient           -> recipient
receving            -> receiving
rechargable         -> rechargeable
recide:             -> reside
reciding            -> residing
reciepents          -> recipients
reciept             -> receipt
receiev             -> receive
reciev              -> receive
recipiant           -> recipient
:reciv:             -> receive
recivership         -> receivership
recogise            -> recognise
recogize            -> recognize
recomend            -> recommend
recommedations      -> recommendations
recompence          -> recompense
reconaissance       -> reconnaissance
reconcilation       -> reconciliation
reconize            -> recognize
reconnaisance       -> reconnaissance
reconnaissence      -> reconnaissance
recontructed        -> reconstructed
recordproducer      -> record producer
recquired           -> required
recrational         -> recreational
recrod              -> record
recuiting           -> recruiting
recuring            -> recurring
recurrance          -> recurrence
rediculous          -> ridiculous
reedeming           -> redeeming
reenforced          -> reinforced
refect              -> reflect
refedendum          -> referendum
referal             -> referral
referece            -> reference
refered             -> referred
referemce           -> reference
referencs           -> references
referenece          -> reference
referiang           -> referring
refering            -> referring
refernce            -> reference
referrence          -> reference
referrs             -> refers
reffered            -> referred
refference          -> reference
reffering           -> referring
refrence            -> reference
refrers             -> refers
refridgeration      -> refrigeration
refridgerator       -> refrigerator
refromist           -> reformist
refusla             -> refusal
regardes            -> regards
regluar             -> regular
reguarly            -> regularly
regulaion           -> regulation
regulaotrs          -> regulators
regularily          -> regularly
rehersal            -> rehearsal
reicarnation        -> reincarnation
reigining           -> reigning
reknown             -> renown
relaly              -> really
relatiopnship       -> relationship
relativly           -> relatively
relected            -> reelected
releive             -> relieve
releses             -> releases
relevence           -> relevance
relevent            -> relevant
reliablity          -> reliability
relient             -> reliant
religeous           -> religious
religous            -> religious
relinqushment       -> relinquishment
relitavely          -> relatively
relpacement         -> replacement
remaing             -> remaining
remeber             -> remember
rememberable        -> memorable
rememberance        -> remembrance
remembrence         -> remembrance
remenant            -> remnant
remenicent          -> reminiscent
reminent            -> remnant
reminescent         -> reminiscent
reminscent          -> reminiscent
reminsicent         -> reminiscent
rendevous           -> rendezvous
rendezous           -> rendezvous
renewl              -> renewal
rennovate           -> renovate
rennovating         -> renovating
rennovation         -> renovation
rentors             -> renters
reorganision        -> reorganisation
repatition          -> repetition
repblic             -> republic
repectively         -> respectively
repeition           -> repetition
repentence          -> repentance
repentent           -> repentant
repeteadly          -> repeatedly
repetion            -> repetition
repid               -> rapid
repitition          -> repetition
reponse             -> response
reponsible          -> responsible
reportadly          -> reportedly
represantative      -> representative
representive        -> representative
reproducable        -> reproducible
reprot              -> report
reprtoire           -> repertoire
repsectively        -> respectively
reptition           -> repetition
repubic             -> republic
republian           -> republican
republis            -> republics
repulic             -> republic
requirment          -> requirement
requred             -> required
resaurant           -> restaurant
resembelance        -> resemblance
resembes            -> resembles
resemblence         -> resemblance
resevoir            -> reservoir
residental          -> residential
resignement         -> resignment
resistence          -> resistance
resistent           -> resistant
respectivly         -> respectively
responce            -> response
responibilities     -> responsibilities
responisble         -> responsible
responnsibilty      -> responsibility
responsability      -> responsibility
responsibile        -> responsible
responsibilites     -> responsibilities
responsiblities     -> responsibilities
responsiblity       -> responsibility
ressemblance        -> resemblance
ressemble:          -> resemble
ressembled          -> resembled
ressemblence        -> resemblance
ressembling         -> resembling
resssurecting       -> resurrecting
ressurect           -> resurrect
ressurrection       -> resurrection
restarant           -> restaurant
restaraunt          -> restaurant
restauration        -> restoration
restauraunt         -> restaurant
resteraunt          -> restaurant
resticted           -> restricted
restraunt           -> restaurant
resturant           -> restaurant
resturaunt          -> restaurant
resurecting         -> resurrecting
retalitated         -> retaliated
retalitation        -> retaliation
retreive            -> retrieve
returnd             -> returned
revaluated          -> reevaluated
reveiw              -> review
reveral             -> reversal
reversable          -> reversible
rewitten            -> rewritten
rewriet             -> rewrite
:rference           -> reference
rhymme              -> rhyme
rhythem             -> rhythm
rhythim             -> rhythm
rhytmic             -> rhythmic
rigeur              -> rigour
rigourous           -> rigorous
rininging           -> ringing
:rised              -> raised
rococco             -> rococo
rocord              -> record
roomate             -> roommate
rougly              -> roughly
rucuperate          -> recuperate
rudimentatry        -> rudimentary
rulle               -> rule
runing              -> running
runnung             -> running
rwite               -> write
rythem              -> rhythm
rythim              -> rhythm
sacrafice           -> sacrifice
sacreligious        -> sacrilegious
sacrifical          -> sacrificial
saftey              -> safety
safty               -> safety
salery              -> salary
sanctionning        -> sanctioning
sandwhich           -> sandwich
santioned           -> sanctioned
sargant             -> sergeant
sargeant            -> sergeant
satelite            -> satellite
saterday            -> Saturday
satisfactority      -> satisfactorily
satric              -> satiric
sattelite           -> satellite
saught              -> sought
saveing             -> saving
